cohpc_448_150.out 4.4800 -148.41457893
cohpc_448_152.out 4.4800 -148.42140936
cohpc_448_154.out 4.4800 -148.42721279
cohpc_448_156.out 4.4800 -148.43203841
cohpc_448_158.out 4.4800 -148.43595396
cohpc_448_160.out 4.4800 -148.43902442
cohpc_448_162.out 4.4800 -148.44133641
cohpc_448_164.out 4.4800 -148.44294388
cohpc_448_166.out 4.4800 -148.44388095
cohpc_448_168.out 4.4800 -148.44420373
cohpc_448_170.out 4.4800 -148.44392342
cohpc_448_172.out 4.4800 -148.44308488
cohpc_448_174.out 4.4800 -148.44174487
cohpc_450_150.out 4.5000 -148.41944032
cohpc_450_152.out 4.5000 -148.42571428
cohpc_450_154.out 4.5000 -148.43098151
cohpc_450_156.out 4.5000 -148.43530608
cohpc_450_158.out 4.5000 -148.43876404
cohpc_450_160.out 4.5000 -148.44140884
cohpc_450_162.out 4.5000 -148.44333052
cohpc_450_164.out 4.5000 -148.44456290
cohpc_450_166.out 4.5000 -148.44514425
cohpc_450_168.out 4.5000 -148.44511506
cohpc_450_170.out 4.5000 -148.44449877
cohpc_450_172.out 4.5000 -148.44335058
cohpc_450_174.out 4.5000 -148.44171954
cohpc_452_150.out 4.5200 -148.42375664
cohpc_452_152.out 4.5200 -148.42947948
cohpc_452_154.out 4.5200 -148.43422994
cohpc_452_156.out 4.5200 -148.43807134
cohpc_452_158.out 4.5200 -148.44108916
cohpc_452_160.out 4.5200 -148.44333291
cohpc_452_162.out 4.5200 -148.44487018
cohpc_452_164.out 4.5200 -148.44573946
cohpc_452_166.out 4.5200 -148.44598196
cohpc_452_168.out 4.5200 -148.44560030
cohpc_452_170.out 4.5200 -148.44466496
cohpc_452_172.out 4.5200 -148.44320614
cohpc_452_174.out 4.5200 -148.44128394
cohpc_454_150.out 4.5400 -148.42754519
cohpc_454_152.out 4.5400 -148.43273065
cohpc_454_154.out 4.5400 -148.43697998
cohpc_454_156.out 4.5400 -148.44037623
cohpc_454_158.out 4.5400 -148.44296393
cohpc_454_160.out 4.5400 -148.44482773
cohpc_454_162.out 4.5400 -148.44600374
cohpc_454_164.out 4.5400 -148.44650996
cohpc_454_166.out 4.5400 -148.44639441
cohpc_454_168.out 4.5400 -148.44567806
cohpc_454_170.out 4.5400 -148.44442483
cohpc_454_172.out 4.5400 -148.44267251
cohpc_454_174.out 4.5400 -148.44046318
cohpc_456_150.out 4.5600 -148.43080935
